player,matchs_chartes,ace_pct,df_pct,first_in_pct,first_won_pct,second_won_pct,bp_saved_pct,return_won_pct,winners_match,ue_match,w_ue_ratio,fh_winners_match,bh_winners_match
Mikael Ymer,14,2.5,3.1,68.1,64.9,52.0,57.9,38.9,22.1,31.4,0.71,10.6,8.4
Aleksandar Vukic,14,11.7,1.8,59.5,72.3,47.5,65.1,30.7,28.9,29.6,0.98,13.1,2.7
Jiri Novak,13,3.7,2.4,63.6,64.2,52.4,57.5,36.5,20.8,26.7,0.78,11.2,6.4
Thiago Monteiro,13,9.3,2.0,64.9,71.8,54.3,63.1,32.9,25.5,23.6,1.08,10.2,3.5
Jonas Bjorkman,13,5.2,3.5,60.9,66.5,54.1,61.3,30.9,25.9,23.8,1.09,12.2,8.5
Quentin Halys,13,15.7,5.2,58.1,79.5,46.7,56.9,26.2,36.9,27.9,1.32,12.9,4.4
Damir Dzumhur,13,1.8,3.9,62.8,62.2,46.8,50.5,37.0,18.5,26.7,0.69,8.8,7.6
Nicolas Massu,13,5.4,4.2,58.7,64.7,45.4,55.0,33.0,21.2,31.6,0.67,12.2,3.4
Mischa Zverev,13,5.8,3.5,61.3,62.9,46.2,56.2,33.3,16.4,17.0,0.96,8.2,4.3
Alexandre Muller,13,4.5,3.1,62.0,61.0,45.9,60.7,29.6,21.7,29.3,0.74,8.5,6.8
Peter Gojowczyk,13,8.8,5.2,52.2,67.1,45.9,56.1,34.4,21.3,35.8,0.59,9.2,3.5
Arthur Cazaux,12,12.1,2.5,59.4,73.0,47.4,61.5,31.5,30.9,30.2,1.02,12.2,5.8
Taro Daniel,12,5.2,2.7,61.4,66.6,46.2,58.7,32.6,17.7,24.2,0.73,6.8,5.1
Pablo Andujar,12,0.7,4.2,67.2,60.9,38.3,50.0,36.7,22.6,27.9,0.81,14.2,7.2
Rinky Hijikata,12,7.5,3.5,59.1,69.2,45.5,57.4,35.0,31.4,28.6,1.1,14.6,8.5
Gregoire Barrere,12,3.8,3.3,60.1,63.5,47.5,55.7,33.4,21.2,28.5,0.74,9.3,4.9
Mariano Navone,12,1.9,2.4,69.6,59.9,45.5,53.1,43.1,19.2,34.6,0.56,10.7,4.9
Arnaud Clement,12,4.1,4.1,55.1,66.6,48.1,61.0,38.3,36.2,41.2,0.88,18.9,11.7
Tennys Sandgren,12,11.6,2.6,64.1,71.6,48.2,71.5,33.1,30.8,32.6,0.94,10.5,7.8
Kyle Edmund,12,5.9,3.8,58.0,69.6,49.6,50.6,36.7,22.6,29.2,0.77,12.8,4.2
Aleksandar Kovacevic,12,12.8,3.6,58.9,76.8,48.5,69.9,32.4,27.8,29.1,0.96,11.9,3.6
Hyeon Chung,12,2.2,3.9,60.7,61.6,46.2,52.5,38.4,16.2,26.8,0.61,9.4,4.8
Hugo Gaston,12,2.1,3.9,55.0,69.1,50.6,61.2,37.9,20.0,23.5,0.85,12.0,5.2
Denis Kudla,12,7.9,4.1,58.5,72.1,48.7,53.5,33.3,20.3,25.8,0.79,8.0,5.8
Luciano Darderi,12,7.1,3.1,55.5,71.7,52.4,60.3,32.6,26.8,24.0,1.11,12.6,4.8
Fabrice Santoro,12,4.5,1.9,60.0,60.3,45.8,51.9,37.1,22.8,17.8,1.28,9.8,8.2
Juncheng Shang,11,3.4,2.4,61.9,66.5,52.7,66.3,36.6,27.2,28.6,0.95,17.3,5.1
