player,matchs_chartes,ace_pct,df_pct,first_in_pct,first_won_pct,second_won_pct,bp_saved_pct,return_won_pct,winners_match,ue_match,w_ue_ratio,fh_winners_match,bh_winners_match
Magda Linette,69,4.2,2.7,61.2,64.3,46.4,56.8,39.6,19.3,22.9,0.84,9.7,6.4
Emma Raducanu,68,4.3,4.2,67.2,64.4,44.8,56.0,43.2,17.1,23.0,0.74,8.1,5.7
Daria Kasatkina,67,2.1,6.7,67.6,59.1,39.3,51.3,45.5,17.1,27.8,0.62,10.3,5.1
Madison Keys,67,8.2,3.6,63.9,68.6,47.5,57.3,42.2,26.8,30.4,0.88,13.5,6.7
Naomi Osaka,67,8.9,3.6,58.3,71.6,45.5,55.9,41.6,25.1,29.0,0.86,10.9,7.7
Arantxa Rus,64,2.4,4.2,71.5,59.8,45.9,59.4,45.2,16.2,29.6,0.55,10.5,3.9
Maria Sakkari,63,4.4,4.4,61.4,65.5,45.1,59.0,41.7,20.7,29.7,0.7,11.0,5.9
Ekaterina Alexandrova,60,7.0,7.0,58.6,68.4,43.7,55.6,43.0,26.2,31.2,0.84,12.5,7.6
Eugenie Bouchard,60,2.9,4.0,60.4,62.9,45.1,54.4,44.1,21.1,27.6,0.76,10.5,7.6
Marta Kostyuk,58,3.8,7.5,59.9,66.7,44.6,57.8,44.5,24.6,31.3,0.79,13.3,7.9
Aryna Sabalenka,57,6.0,5.0,62.6,67.0,51.0,59.2,43.4,26.3,24.2,1.09,13.4,8.4
Donna Vekic,54,5.3,6.9,55.9,68.3,44.2,54.9,40.9,23.5,30.1,0.78,12.6,6.2
Agnieszka Radwanska,53,3.1,1.8,65.7,63.3,45.2,58.3,44.3,17.5,19.7,0.89,8.7,6.1
Justine Henin,52,3.9,6.6,54.4,67.4,48.2,57.5,46.1,22.2,27.6,0.8,12.2,6.6
Jasmine Paolini,51,1.7,2.4,67.8,62.1,48.1,54.5,45.1,19.7,24.9,0.79,12.4,6.0
Jelena Ostapenko,51,4.6,7.6,56.9,64.1,42.7,52.8,43.3,27.6,32.0,0.87,13.8,10.5
Ashleigh Barty,50,8.5,3.8,57.9,73.7,51.2,64.9,44.2,26.0,29.4,0.89,14.4,4.6
Paula Badosa,49,5.6,7.2,61.5,67.5,44.5,57.9,44.2,21.8,24.8,0.88,10.9,6.3
Ana Ivanovic,48,5.3,6.1,58.5,69.3,45.8,59.8,43.8,25.8,27.6,0.93,15.1,6.1
Qinwen Zheng,48,8.7,6.5,52.0,73.6,43.9,53.8,44.8,24.1,26.4,0.91,11.8,5.8
Linda Noskova,47,6.0,6.5,60.4,68.9,44.1,57.2,40.0,24.4,26.9,0.91,11.7,8.0
Elena Dementieva,47,2.0,7.7,62.7,62.9,44.1,53.9,46.6,22.2,30.7,0.72,13.6,6.5
Kim Clijsters,44,3.6,6.0,65.1,64.6,44.0,53.6,46.5,22.2,31.3,0.71,12.7,6.5
Leylah Fernandez,44,3.4,5.4,64.7,65.4,47.1,55.2,42.0,22.8,24.0,0.95,11.3,8.8
Iva Jovic,44,3.0,2.8,61.1,63.0,51.2,58.0,46.0,19.5,26.3,0.74,10.8,6.0
Danielle Collins,43,5.1,6.4,55.9,67.3,49.3,58.3,43.9,25.4,28.4,0.89,10.4,10.9
Marketa Vondrousova,43,3.1,6.7,60.3,63.9,46.1,52.7,45.1,18.8,25.7,0.73,9.6,6.8
Ons Jabeur,43,5.8,3.1,55.3,66.5,46.0,53.0,41.4,25.6,34.0,0.75,13.7,7.0
Caroline Garcia,42,6.6,4.3,59.6,66.8,45.0,53.9,38.9,21.7,24.2,0.9,11.8,5.1
Clara Tauson,41,7.4,4.6,59.8,68.7,44.6,57.7,42.0,25.2,26.0,0.97,11.7,7.2
Liudmila Samsonova,41,6.6,5.8,55.8,70.9,48.0,62.4,41.2,24.1,30.2,0.8,13.9,4.8
Elise Mertens,41,4.6,6.7,60.6,66.4,42.5,54.5,42.0,18.7,26.1,0.72,7.8,7.2
Veronika Kudermetova,40,6.6,3.3,58.7,64.9,48.1,54.5,41.7,24.0,30.8,0.78,11.1,7.6
Marie Bouzkova,39,2.0,3.7,67.4,59.6,45.4,52.3,39.8,17.0,23.6,0.72,9.6,5.9
Camila Giorgi,38,4.3,9.6,55.7,66.4,46.7,56.1,42.3,23.4,34.1,0.69,10.9,9.0
Anett Kontaveit,38,4.1,4.0,62.7,65.8,48.9,59.0,43.1,23.4,28.1,0.83,11.3,8.7
Anna Kalinskaya,37,2.5,4.3,67.8,61.7,47.5,61.1,42.5,20.1,24.4,0.82,10.2,7.9
Anastasia Pavlyuchenkova,36,3.7,7.0,59.9,61.5,42.0,50.5,39.9,19.6,25.8,0.76,10.6,6.6
Sloane Stephens,36,2.0,2.7,70.4,60.5,46.5,52.9,42.7,16.2,26.5,0.61,8.7,5.8
Martina Hingis,36,2.1,3.2,67.0,60.1,44.3,54.2,48.1,19.3,20.5,0.94,9.0,8.7
Sorana Cirstea,35,4.4,2.9,61.1,63.2,45.9,56.1,42.6,19.9,23.4,0.85,9.2,7.5
Lindsay Davenport,34,5.7,4.8,61.8,65.5,44.5,57.9,44.1,25.3,30.4,0.83,10.9,9.3
Carla Suarez Navarro,34,1.3,2.5,66.5,59.1,44.8,49.2,40.5,17.4,28.8,0.6,10.8,5.4
Sara Sorribes Tormo,34,0.7,4.4,71.5,54.7,40.1,48.2,48.0,13.6,21.1,0.65,8.0,5.1
Anastasia Potapova,33,3.2,6.4,58.6,64.3,41.3,53.9,42.1,19.4,29.0,0.67,9.7,7.2
Alize Cornet,32,1.6,7.4,62.3,61.3,40.9,52.7,44.5,17.2,26.0,0.66,9.0,6.8
Dayana Yastremska,32,4.4,7.8,57.4,63.9,45.6,49.8,42.1,24.8,35.5,0.7,12.2,9.4
Martina Navratilova,32,3.0,3.1,65.6,64.7,44.7,58.2,41.9,30.3,24.0,1.26,15.8,11.9
Monica Seles,31,3.2,3.7,65.7,64.3,47.8,56.0,45.1,24.8,26.5,0.94,11.2,10.8
Svetlana Kuznetsova,31,4.0,4.4,64.1,61.2,42.6,53.0,43.9,29.4,37.1,0.79,16.2,8.9
Yulia Putintseva,30,1.3,3.8,67.8,58.5,44.7,54.6,40.4,15.0,24.5,0.61,7.1,6.7
Katerina Siniakova,30,1.9,6.3,63.6,59.7,43.8,49.0,41.9,19.6,32.2,0.61,8.8,9.1
Suzan Lamens,30,3.5,7.1,62.3,67.3,45.0,53.1,45.8,19.3,30.3,0.64,11.9,4.5
Emma Navarro,30,2.2,3.4,65.8,61.1,44.6,46.2,43.2,14.2,20.8,0.68,7.6,5.1
Olga Danilovic,29,3.5,4.5,63.8,61.3,45.0,55.8,40.7,20.6,27.1,0.76,12.1,5.6
Sara Errani,28,0.1,4.2,76.6,51.2,34.7,45.8,44.7,12.4,19.8,0.63,7.5,4.8
Barbora Krejcikova,28,6.5,5.8,62.7,68.9,44.8,58.0,40.7,22.0,30.1,0.73,12.0,5.1
Dominika Cibulkova,28,0.9,5.7,63.4,58.6,42.4,53.7,41.5,16.2,27.0,0.6,9.8,5.5
Lucie Safarova,27,7.0,4.4,61.7,68.3,50.3,61.4,40.3,26.7,27.6,0.97,13.4,6.5
Jelena Jankovic,27,3.0,5.3,61.8,56.0,40.3,48.6,41.1,18.3,26.8,0.68,6.9,8.6
Diana Shnaider,27,2.9,4.1,64.2,63.8,45.4,53.0,41.6,19.4,27.3,0.71,11.5,5.2
Alison Riske Amritraj,27,1.8,4.8,67.5,60.0,43.4,51.3,41.2,15.0,27.1,0.55,7.3,6.2
Aliaksandra Sasnovich,27,3.4,6.4,63.6,59.7,39.8,47.2,42.0,21.0,31.7,0.66,9.6,8.9
Jil Teichmann,26,2.4,4.0,61.7,61.0,45.2,53.4,43.1,21.7,36.5,0.59,13.9,5.8
