id,code_bien,nomcourt,status,building_id,latitude,longitude,updated_at,motif
958,BATI00316,ECOLE SUZANNE LACORE,lie,1207,43.412961,3.66533,2026-08-24 07:18:50.919073+00,rattache-deplace
963,BATI00179,ESPACE GEORGES BRASSENS,lie,1236,43.407449,3.670679,2026-08-24 07:18:12.801267+00,rattache-deplace
970,BATI00013,EX TRIBUNAL,lie,1238,43.398335,3.695223,2026-08-24 07:16:47.591633+00,rattache-deplace
990,BATI00363,FOYER LE THONNAIRE,lie,1242,43.412961,3.66533,2026-08-24 07:19:32.54524+00,rattache-deplace
993,BATI00412,FOYER RESTAURANT LE VALLON,lie,1303,43.408861,3.679456,2026-08-24 07:19:47.876181+00,rattache-deplace
996,BATI00414,FRANCOISE PASCAL,lie,1166,43.393517,3.672654,2026-08-24 07:19:47.876181+00,rattache-deplace
997,BATI00373,G.I.H.P.,lie,1251,43.412665,3.661422,2026-08-24 07:19:32.54524+00,rattache-deplace
1007,BATI00444,HALLE MARTY,lie,1190,43.415896,3.671047,2026-08-24 07:20:05.569764+00,rattache-deplace
1009,BATI00089,HOTEL DE VILLE,lie,1252,43.40168,3.695977,2026-08-24 07:17:38.973848+00,rattache-deplace
1011,BATI00199,ISSANKA - ABANDON,a_traiter,,49.286027,3.816065,2026-08-24 07:18:12.801267+00,hors-commune
1015,BATI00404,LA PASSERELLE,lie,1271,43.412427,3.665341,2026-08-24 07:19:47.876181+00,rattache-deplace
1022,BATI00321,LE PONT LEVIS,lie,1284,43.402575,3.657891,2026-08-24 07:18:50.919073+00,rattache-deplace
1029,BATI00322,LES METAIRIES,lie,1297,43.411386,3.670118,2026-08-24 07:19:06.816953+00,rattache-deplace
1052,BATI00382,LOCAL SKI C.O.S.,a_traiter,,43.648278,5.09665,2026-08-24 07:19:47.876181+00,hors-commune
1053,BATI00385,LOCAL U.F.C.,a_traiter,,43.648278,5.09665,2026-08-24 07:19:47.876181+00,hors-commune
1067,BATI00014,LOGEMENT POLICE NATIONALE,a_traiter,,50.409672,2.847864,2026-08-24 07:16:47.591633+00,hors-commune
1090,BATI00443,MAURICE VIE,lie,1189,43.415896,3.671047,2026-08-24 07:20:05.569764+00,rattache-deplace
1096,BATI00178,MUSEE PAUL VALERY,lie,1276,43.395104,3.689756,2026-08-24 07:18:12.801267+00,rattache-deplace
1130,BATI00241,RESTAURATION SCOLAIRE A FRANCE,lie,1204,43.412961,3.66533,2026-08-24 07:18:30.506587+00,rattache-deplace
1139,BATI00370,SAINT CLAIR BELLEVUE,a_traiter,,43.648278,5.09665,2026-08-24 07:19:32.54524+00,hors-commune
1140,BATI00150,SAINT JOSEPH,lie,1231,43.401561,3.69472,2026-08-24 07:17:54.424149+00,rattache-deplace
1141,BATI00151,SAINT LOUIS,lie,1228,43.399496,3.694811,2026-08-24 07:17:54.424149+00,rattache-deplace
1144,BATI00156,SAINT PIERRE,lie,1229,43.408159,3.697455,2026-08-24 07:18:12.801267+00,rattache-deplace
1154,BATI00094,SALLE TENNIS,propose,1188,43.4164110231376,3.6701413117642327,2026-08-24 07:27:49.7362+00,rattache-deplace
1160,BATI00098,SERVICE ANIMATION,lie,1274,43.393858,3.685385,2026-08-24 07:17:38.973848+00,rattache-deplace
1167,BATI00131,SERVICES DES AINES,lie,1304,43.403254,3.694835,2026-08-24 07:17:54.424149+00,rattache-deplace
1176,BATI00340,THAU AVENIR PETANQUE,lie,1278,43.42103,3.674708,2026-08-24 07:19:06.816953+00,rattache-deplace
1181,BATI00202,VICTOR HUGO,lie,1315,43.408534,3.698285,2026-08-24 07:18:12.801267+00,rattache-deplace
1182,BATI00134,VIE DES QUARIERS,lie,1149,43.402056,3.696295,2026-08-24 07:17:54.424149+00,rattache-deplace
1197,BATI00280,WC PUBLICS LIDO,lie,1289,43.385453,3.645681,2026-08-24 07:18:50.919073+00,rattache-deplace
1198,BATI00286,WC PUBLICS N°6 LIDO,lie,1290,43.385453,3.645681,2026-08-24 07:18:50.919073+00,rattache-deplace
