id_ligne;source_fichier;page_source_pdf;ordre_dans_page;code_niveau_1;libelle_niveau_1;code_niveau_2;libelle_niveau_2;niveau_3;niveau_4;niveau_5;equipement;sypemi_mini_annees;sypemi_reference_annees;sypemi_maxi_annees;votre_proposition_mini_annees;votre_proposition_reference_annees;votre_proposition_maxi_annees;fiche_cee
67;Guide de durée de vie d'un matériel .pdf;6;8;A.1;Ouvrages;A.1.3;Les Aménagements Intérieurs et les petits travaux de Second-Œuvre;Menuiseries et serrureries intérieures (châssis vitrés fixes, portes, cloisons amovibles);;;Porte métallique d'issue de secours;;50;;;;;
68;Guide de durée de vie d'un matériel .pdf;6;9;A.1;Ouvrages;A.1.3;Les Aménagements Intérieurs et les petits travaux de Second-Œuvre;Menuiseries et serrureries intérieures (châssis vitrés fixes, portes, cloisons amovibles);;;Grilles de ventilation;;25;;;;;
69;Guide de durée de vie d'un matériel .pdf;6;10;A.1;Ouvrages;A.1.3;Les Aménagements Intérieurs et les petits travaux de Second-Œuvre;Murs, plafonds et cloisons préfabriquées (bruts, enduits, peints, recouverts de matériaux collés, tendus ou agrafés, etc.);;;Cloisons légères;;30;;;;;
70;Guide de durée de vie d'un matériel .pdf;6;11;A.1;Ouvrages;A.1.3;Les Aménagements Intérieurs et les petits travaux de Second-Œuvre;Murs, plafonds et cloisons préfabriquées (bruts, enduits, peints, recouverts de matériaux collés, tendus ou agrafés, etc.);;;Cloisons en carreaux de plâtre ou en plaques de plâtre;;50;;;;;
71;Guide de durée de vie d'un matériel .pdf;6;12;A.1;Ouvrages;A.1.3;Les Aménagements Intérieurs et les petits travaux de Second-Œuvre;Murs, plafonds et cloisons préfabriquées (bruts, enduits, peints, recouverts de matériaux collés, tendus ou agrafés, etc.);;;Cloisons mobiles ou cloisons modulables;10;12;15;;;;
72;Guide de durée de vie d'un matériel .pdf;6;13;A.1;Ouvrages;A.1.3;Les Aménagements Intérieurs et les petits travaux de Second-Œuvre;Faux plafonds suspendus (dalles ignifugées, etc.);;;Faux-plafond métallique;;40;;;;;
73;Guide de durée de vie d'un matériel .pdf;6;14;A.1;Ouvrages;A.1.3;Les Aménagements Intérieurs et les petits travaux de Second-Œuvre;Faux plafonds suspendus (dalles ignifugées, etc.);;;Faux-plafond fibre minérale;;30;;;;;
74;Guide de durée de vie d'un matériel .pdf;6;15;A.1;Ouvrages;A.1.3;Les Aménagements Intérieurs et les petits travaux de Second-Œuvre;Faux-plancher;;;Faux-plancher en locaux techniques;;30;;;;;
75;Guide de durée de vie d'un matériel .pdf;6;16;A.1;Ouvrages;A.1.3;Les Aménagements Intérieurs et les petits travaux de Second-Œuvre;Revêtements;;;Peinture murs et cloisons;;10;;;;;
76;Guide de durée de vie d'un matériel .pdf;6;17;A.1;Ouvrages;A.1.3;Les Aménagements Intérieurs et les petits travaux de Second-Œuvre;Revêtements;;;Peintures menuiseries bois ou métal;;10;;;;;
77;Guide de durée de vie d'un matériel .pdf;6;18;A.1;Ouvrages;A.1.3;Les Aménagements Intérieurs et les petits travaux de Second-Œuvre;Revêtements;;;Carrelage, faïence;30;35;40;;;;
78;Guide de durée de vie d'un matériel .pdf;6;19;A.1;Ouvrages;A.1.3;Les Aménagements Intérieurs et les petits travaux de Second-Œuvre;Revêtements;;;Sol moquette;5;8;12;;;;
